title,text,subject,ext_subject,Title_based,Event_based,target,ext_target,Title_based,Event_based,,title,text,subject,ext_subject,sent0_based,Event_based,target,ext_target,sent0_based,Event_based
Hisham Ashmawi: Egypt court sentences 'top jihadist' to death,"A military court in Egypt has sentenced to death a man once considered the country's most wanted jihadist. Hisham Ashmawi was found guilty of involvement in several high-profile attacks, including one in western Egypt in 2014 that killed 22 security personnel, an army spokesman said. He was also convicted of being behind a 2013 attempt to assassinate then Interior Minister Mohammed Ibrahim. Ashmawi was captured in eastern Libya last year by Khalifa Haftar's forces. The renegade commander of the self-styled Libyan National Army (LNA), which has close relations with Egypt's government, handed Ashmawi over for trial this May. Ashmawi, also known as Abu Umar al-Muhajir, once served in the Egyptian army's special operations force but was dismissed over his religious views. The army said he later became a senior figure in the Sinai-based jihadist group Ansar Beit al-Maqdis, but that he left before it pledged allegiance to the Islamic State group in 2014. Ashmawi subsequently moved with a number of followers to Egypt's Western Desert, and then crossed the border into eastern Libya, it added. In 2015, Ashmawi allegedly established an al-Qaeda-aligned group called al-Mourabitoun, which was blamed for an attack two years later that killed 28 Christian pilgrims travelling to a monastery.",military court,Ashmawi,0,0,the country's most wanted jihadist,NA,0,0,,A military court in Egypt has sentenced to death a man once considered the country's most wanted jihadist.,"A military court in Egypt has sentenced to death a man once considered the country's most wanted jihadist. Hisham Ashmawi was found guilty of involvement in several high-profile attacks, including one in western Egypt in 2014 that killed 22 security personnel, an army spokesman said. He was also convicted of being behind a 2013 attempt to assassinate then Interior Minister Mohammed Ibrahim. Ashmawi was captured in eastern Libya last year by Khalifa Haftar's forces. The renegade commander of the self-styled Libyan National Army (LNA), which has close relations with Egypt's government, handed Ashmawi over for trial this May. Ashmawi, also known as Abu Umar al-Muhajir, once served in the Egyptian army's special operations force but was dismissed over his religious views. The army said he later became a senior figure in the Sinai-based jihadist group Ansar Beit al-Maqdis, but that he left before it pledged allegiance to the Islamic State group in 2014. Ashmawi subsequently moved with a number of followers to Egypt's Western Desert, and then crossed the border into eastern Libya, it added. In 2015, Ashmawi allegedly established an al-Qaeda-aligned group called al-Mourabitoun, which was blamed for an attack two years later that killed 28 Christian pilgrims travelling to a monastery.",military court,court,1,1,the country's most wanted jihadist,military court in Egypt,0,0
Egypt protests: 'Hundreds held' after rare anti-government unrest,"Almost 500 people have been detained in Egypt in the past few days after protests against alleged government corruption, human rights activists say. Demonstrations were reported in Cairo, Alexandria and several other cities on Friday night, and in the port city of Suez on Saturday evening. The authorities have not yet released an official number of arrests. Under President Abdel Fattah al-Sisi, there has been a wide-ranging crackdown on dissent, and protests are very rare. Public gatherings of more than 10 people without government approval have been banned since 2013, when Mr Sisi led the military's overthrow of Egypt's first democratically elected leader, Mohammed Morsi. At least 60,000 people - most of them members of Morsi's now-outlawed Islamist movement, the Muslim Brotherhood - are reported to have been detained in the past six years; hundreds have been handed preliminary death sentences by courts, and activist say hundreds more have gone missing in apparent forced disappearances.",Unespecified / Police,Egypt,0,0,500 people,NA,0,0,,"Almost 500 people have been detained in Egypt in the past few days after protests against alleged government corruption, human rights activists say.","Almost 500 people have been detained in Egypt in the past few days after protests against alleged government corruption, human rights activists say. Demonstrations were reported in Cairo, Alexandria and several other cities on Friday night, and in the port city of Suez on Saturday evening. The authorities have not yet released an official number of arrests. Under President Abdel Fattah al-Sisi, there has been a wide-ranging crackdown on dissent, and protests are very rare. Public gatherings of more than 10 people without government approval have been banned since 2013, when Mr Sisi led the military's overthrow of Egypt's first democratically elected leader, Mohammed Morsi. At least 60,000 people - most of them members of Morsi's now-outlawed Islamist movement, the Muslim Brotherhood - are reported to have been detained in the past six years; hundreds have been handed preliminary death sentences by courts, and activist say hundreds more have gone missing in apparent forced disappearances.",Unespecified / Police,activists,0,0,500 people,people have been detained in Egypt,1,1
Egypt protests: Activist Alaa Abdel Fattah arrested amid rare unrest,"A prominent Egyptian dissident has been arrested, six months after his release from prison, his family says. Alaa Abdel Fattah was freed in March after serving a five-year sentence for organising a protest without permission. He was a leading campaigner during the 2011 uprising against former Egyptian President Hosni Mubarak. Under his probation conditions, the activist was required to spend nights in a police cell for five years. On Sunday, as Mr Abdel Fattah was preparing to leave the police station, he was rearrested by Egyptian authorities, his family say.",Unespecified / Police,Egypt,0,0,prominent egyptian dissident,NA,0,0,,"A prominent Egyptian dissident has been arrested, six months after his release from prison, his family says.","A prominent Egyptian dissident has been arrested, six months after his release from prison, his family says. Alaa Abdel Fattah was freed in March after serving a five-year sentence for organising a protest without permission. He was a leading campaigner during the 2011 uprising against former Egyptian President Hosni Mubarak. Under his probation conditions, the activist was required to spend nights in a police cell for five years. On Sunday, as Mr Abdel Fattah was preparing to leave the police station, he was rearrested by Egyptian authorities, his family say.",Unespecified / Police,family,0,0,prominent egyptian dissident,"dissident has been arrested , six months after his release",1,1
Egypt constitutional changes could mean Sisi rule until 2030,"Egypt's parliament has approved constitutional amendments that would allow President Abdul Fattah al-Sisi to stay in power until 2030. Mr Sisi is due to stand down in 2022, when his second four-year term ends. But the amendments, which must be put to a referendum within 30 days, would lengthen his current term to six years and allow him to stand for one more. They would also give Mr Sisi more power over the judiciary and further enshrine the military's role in politics. In 2013, Mr Sisi led the military's overthrow of Egypt's first democratically elected president, Mohammed Morsi, following protests against his rule. Since then, he has overseen what human rights groups say is an unprecedented crackdown on dissent that has led to the detention of tens of thousands of people.",Egypt's Parliament,changes,0,0,president Abdul Fattah al-Sisi,NA,0,0,,Egypt's parliament has approved constitutional amendments that would allow President Abdul Fattah al-Sisi to stay in power until 2030.,"Egypt's parliament has approved constitutional amendments that would allow President Abdul Fattah al-Sisi to stay in power until 2030. Mr Sisi is due to stand down in 2022, when his second four-year term ends. But the amendments, which must be put to a referendum within 30 days, would lengthen his current term to six years and allow him to stand for one more. They would also give Mr Sisi more power over the judiciary and further enshrine the military's role in politics. In 2013, Mr Sisi led the military's overthrow of Egypt's first democratically elected president, Mohammed Morsi, following protests against his rule. Since then, he has overseen what human rights groups say is an unprecedented crackdown on dissent that has led to the detention of tens of thousands of people.",Egypt's Parliament,parliament,1,1,president Abdul Fattah al-Sisi,constitutional amendments that would allow President Abdul Fattah al - Sisi to stay in power,1,1
Egypt TV host Mohamed al-Ghiety jailed for interviewing gay man,"An Egyptian TV presenter has been sentenced to one year of hard labour for interviewing a gay man last year. A court in Giza also fined Mohamed al-Ghiety 3,000 Egyptian pounds ($167; £130) for ""promoting homosexuality"" on his privately owned LTC TV channel. The gay man, whose identity was hidden, had talked about life as a sex worker. Homosexuality is not explicitly criminalised in Egypt, however, the authorities have been increasingly cracking down on the LGBT community. They routinely arrest people suspected of engaging in consensual homosexual conduct on charges of ""debauchery"", immorality or blasphemy. The most recent case came about after lawyer Samir Sabry, who is well known in Egypt for taking celebrities to court, filed a lawsuit against Ghiety for his interview which took place in August 2018. The TV host, who has voiced homophobic views on a number of occasions, spoke to a gay man who expressed regret over his sexuality and described life as a prostitute. The man's face had been blurred to conceal his identity. Egypt's top media body, the Supreme Council for Media Regulation, immediately took the channel off air for two weeks, citing ""professional violations"".",unspecified / court,Ghiety,0,0,Mohamed al-Ghiety,gay man,0,0,,An Egyptian TV presenter has been sentenced to one year of hard labour for interviewing a gay man last year.,"An Egyptian TV presenter has been sentenced to one year of hard labour for interviewing a gay man last year. A court in Giza also fined Mohamed al-Ghiety 3,000 Egyptian pounds ($167; £130) for ""promoting homosexuality"" on his privately owned LTC TV channel. The gay man, whose identity was hidden, had talked about life as a sex worker. Homosexuality is not explicitly criminalised in Egypt, however, the authorities have been increasingly cracking down on the LGBT community. They routinely arrest people suspected of engaging in consensual homosexual conduct on charges of ""debauchery"", immorality or blasphemy. The most recent case came about after lawyer Samir Sabry, who is well known in Egypt for taking celebrities to court, filed a lawsuit against Ghiety for his interview which took place in August 2018. The TV host, who has voiced homophobic views on a number of occasions, spoke to a gay man who expressed regret over his sexuality and described life as a prostitute. The man's face had been blurred to conceal his identity. Egypt's top media body, the Supreme Council for Media Regulation, immediately took the channel off air for two weeks, citing ""professional violations"".",unspecified / court,sentenced,0,0,Mohamed al-Ghiety,Egyptian TV presenter has been sentenced to one year,1,1
Egypt jails 16 for 'debauchery' as LGBT crackdown continues,"Sixteen men arrested last month during a crackdown on homosexuality by the authorities in Egypt have been sentenced to three years in prison. A court in Cairo found 14 of them guilty of ""inciting debauchery"" and ""abnormal sexual relations"" on Sunday. The other two were convicted on Monday. However, they have reportedly been freed on bail of 5,000 Egyptian pounds ($282; £211) each pending an appeal. The verdict for a 17th man on trial in the same case has been delayed. The Egyptian Initiative for Personal Rights (EIPR) says at least 75 people have been arrested since rainbow flags were raised at a concert in the capital on 22 September, provoking a public outcry in the socially conservative country. Only 10 of the arrests are believed to have been related to the flag-raising. Most of the others were entrapped through online dating apps, according to the EIPR. At least five men were subjected to anal examinations.",unspecified / court,Egypt,1,0,Sixteen Men,' debauchery,0,0,,Sixteen men arrested last month during a crackdown on homosexuality by the authorities in Egypt have been sentenced to three years in prison.,"Sixteen men arrested last month during a crackdown on homosexuality by the authorities in Egypt have been sentenced to three years in prison. A court in Cairo found 14 of them guilty of ""inciting debauchery"" and ""abnormal sexual relations"" on Sunday. The other two were convicted on Monday. However, they have reportedly been freed on bail of 5,000 Egyptian pounds ($282; £211) each pending an appeal. The verdict for a 17th man on trial in the same case has been delayed. The Egyptian Initiative for Personal Rights (EIPR) says at least 75 people have been arrested since rainbow flags were raised at a concert in the capital on 22 September, provoking a public outcry in the socially conservative country. Only 10 of the arrests are believed to have been related to the flag-raising. Most of the others were entrapped through online dating apps, according to the EIPR. At least five men were subjected to anal examinations.",unspecified / court,men,0,0,Sixteen Men,NA,0,0
Egypt sentences activist for 'spreading fake news',"A court in Egypt has given human rights activist Amal Fathy a two-year-suspended sentence and a fine for ""spreading fake news"". She has been in detention since May after posting a video criticising the government over the extent of sexual harassment in the country. Amnesty International said this was ""an outrageous case of injustice"". Egypt has recently passed a law that tightens controls over the internet - a move condemned by rights activists. The legislation on ""cybercrime"" means websites can be blocked in Egypt if deemed to constitute a threat to national security or the economy. It also allows any social media accounts with more than 5,000 followers to be placed under supervision. Egypt's authorities say the measures are needed to tackle instability and terrorism. Correspondents say that with street protests in Egypt all but banned, the internet has been one of the last forums left for Egyptians to express dissent.",Court in Egypt,activist,0,0,human rights activist Amal Fathy,fake news,0,0,,"A court in Egypt has given human rights activist Amal Fathy a two-year-suspended sentence and a fine for ""spreading fake news"".","A court in Egypt has given human rights activist Amal Fathy a two-year-suspended sentence and a fine for ""spreading fake news"". She has been in detention since May after posting a video criticising the government over the extent of sexual harassment in the country. Amnesty International said this was ""an outrageous case of injustice"". Egypt has recently passed a law that tightens controls over the internet - a move condemned by rights activists. The legislation on ""cybercrime"" means websites can be blocked in Egypt if deemed to constitute a threat to national security or the economy. It also allows any social media accounts with more than 5,000 followers to be placed under supervision. Egypt's authorities say the measures are needed to tackle instability and terrorism. Correspondents say that with street protests in Egypt all but banned, the internet has been one of the last forums left for Egyptians to express dissent.",Court in Egypt,court,1,1,human rights activist Amal Fathy,human,0,0
Egypt internet: Sisi ratifies law tightening control over websites,"Egyptian President Abdel Fattah al-Sisi has signed a new law that tightens controls over the internet. The legislation on ""cybercrime"" means websites can be blocked in Egypt if deemed to constitute a threat to national security or the economy. Anyone found guilty of running, or just visiting, such sites could face prison or a fine. Authorities say the new measures are needed to tackle instability and terrorism. But human rights groups accuse the government of trying to crush all political dissent in the country. The Cairo-based Association of Freedom of Thought and Expression said more than 500 websites had already been blocked in Egypt prior to the new law being signed.",Egyptian President Abdel Fattah al-Sisi,internet,0,0,The Internet,over websites,1,1,,Egyptian President Abdel Fattah al-Sisi has signed a new law that tightens controls over the internet.,"Egyptian President Abdel Fattah al-Sisi has signed a new law that tightens controls over the internet. The legislation on ""cybercrime"" means websites can be blocked in Egypt if deemed to constitute a threat to national security or the economy. Anyone found guilty of running, or just visiting, such sites could face prison or a fine. Authorities say the new measures are needed to tackle instability and terrorism. But human rights groups accuse the government of trying to crush all political dissent in the country. The Cairo-based Association of Freedom of Thought and Expression said more than 500 websites had already been blocked in Egypt prior to the new law being signed.",Egyptian President Abdel Fattah al-Sisi,al,0,0,The Internet,Egyptian President Abdel Fattah al - Sisi has signed a new law that tightens controls over the internet,0,0
"Egypt to bail Amal Fathy, jailed for 'fake news' after harassment complaint","A court in Egypt has ordered the release of the women's rights activist Amal Fathy, who was detained after criticising the authorities for failing to tackle sexual harassment. Ms Fathy was charged with ""spreading fake news"" in May after posting a video in which she recounted her experiences. She was given a two-year suspended prison sentence in September, but she was not freed because of another case. On Tuesday, a judge said Ms Fathy should be freed on bail pending trial. Amnesty International called on the authorities to comply immediately.",court in Egypt,Egypt,1,0,Amal Fathy,fake news,0,0,,"A court in Egypt has ordered the release of the women's rights activist Amal Fathy, who was detained after criticising the authorities for failing to tackle sexual harassment.","A court in Egypt has ordered the release of the women's rights activist Amal Fathy, who was detained after criticising the authorities for failing to tackle sexual harassment. Ms Fathy was charged with ""spreading fake news"" in May after posting a video in which she recounted her experiences. She was given a two-year suspended prison sentence in September, but she was not freed because of another case. On Tuesday, a judge said Ms Fathy should be freed on bail pending trial. Amnesty International called on the authorities to comply immediately.",court in Egypt,court,1,1,Amal Fathy,sexual,0,0
"Deadly attack targets UN mission in Timbuktu, Mali","Gunmen have attacked a United Nations peacekeeping base in the city of Timbuktu in northern Mali, killing seven people. Five of those who died were Malian security guards. The Malian military said the assault had been repulsed and four of the gunmen killed. No group has claimed Monday's attack. Islamist militants frequently target the UN mission in Mali. More than 100 members of the force have been killed. The country's security has gradually worsened since 2013, when French forces repelled allied Islamist and Tuareg rebel fighters who had much of the north, including Timbuktu. French troops and a 10,000-strong force of UN peacekeepers have been battling to stabilise the former French colony.",Gunmen,targets,0,0,United Nations peacekeeping base,NA,0,0,,"Gunmen have attacked a United Nations peacekeeping base in the city of Timbuktu in northern Mali, killing seven people.","Gunmen have attacked a United Nations peacekeeping base in the city of Timbuktu in northern Mali, killing seven people. Five of those who died were Malian security guards. The Malian military said the assault had been repulsed and four of the gunmen killed. No group has claimed Monday's attack. Islamist militants frequently target the UN mission in Mali. More than 100 members of the force have been killed. The country's security has gradually worsened since 2013, when French forces repelled allied Islamist and Tuareg rebel fighters who had much of the north, including Timbuktu. French troops and a 10,000-strong force of UN peacekeepers have been battling to stabilise the former French colony.",Gunmen,Gunmen,1,1,United Nations peacekeeping base,northern,0,0
