Agent Name,Agent Type,Sectors,Aliases
National Security Advisor,Individual,Defense / Security Ministry,National Security Chief || National Security Adviser || National Security Council || National Security Advisor
National Traitor,Individual,Exiles,National Traitor
News Editor,Individual,Media,Newspaper Publisher || News Editor || Publisher || Chief Editor || Editor Of Newspaper || Magazine Editor || Newspaper Editor || Newspaper Chief Editor || Editor In Chief
Nurse,Individual,Medical / Health NGOs,Nurse
Oil Tanker,Individual,Business,Oil Tanker
Ombudsman,Individual,Government,Ombudsman || Ombudswoman || Ombuds || Ombudsperson
Opposition Activist,Individual,Protestors / Popular Opposition / Mobs,Opposition Activist
Opposition Daily,Individual,Protestors / Popular Opposition / Mobs,Opposition Daily
Opposition Reporter,Individual,Protestors / Popular Opposition / Mobs,Opposition Journalist || Opposition Reporter
Opposition Supporter,Individual,Protestors / Popular Opposition / Mobs,Opposition Leader || Opposition Supporter
Ousted Foreign Minister,Individual,Protestors / Popular Opposition / Mobs,Ousted Foreign Minister
Ousted Head of State,Individual,Protestors / Popular Opposition / Mobs,Ousted Prime Minister || Ousted Premier || Ousted President
Party Member,Individual,Parties,Politicians || Politician || Candidate || Party Member
Party President,Individual,Parties,Party President || Party Leader
Passenger Jet,Individual,General Population / Civilian / Social,Passenger Jet || Airbus A319 || Airbus A380 || Boeing 767 || Boeing 747 || Boeing 737 || Airbus A340 || Boeing 787 || Airbus A318 || Airbus A300 || Jumbo Jet || Commercial Airliner || Airbus A350 || Boeing 777 || Passenger Plane || Airbus A310 || Airbus A320 || Jumbojet
Picketer,Individual,Protestors / Popular Opposition / Mobs,Picketer
Pilgrim,Individual,National Religious,Pilgrim
Preacher,Individual,National Religious,Preacher
Prelate,Individual,Catholic || National Religious,Prelate
President of the Senate,Individual,Legislative / Parliamentary,Senate President || President Of The Senate
Presidential Aide,Individual,Executive Office,Presidential Aide
Presidential Candidate,Individual,Parties,Presidential Candidate
Priest,Individual,National Religious,Priest
Prisoner of War,Individual,Unidentified Forces,Prisoner Of War || War Prisoner
Pro Independence Activist,Individual,Separatists,Pro Independence Activist
Professor,Individual,Education,Lecturer || Professor
Protestant Priest,Individual,National Religious || Protestant,Protestant Priest
Protester,Individual,Protestors / Popular Opposition / Mobs,Protester || Protest Group || Protest Leader || Demonstrator || Demonstrater || Protestor || Marcher
Protesting Worker,Individual,Labor,Protesting Worker || Strike Activist
Public Defender,Individual,Judicial,Public Defender
Public Prosecutor,Individual,Judicial,Prosecuting Officer || Prosecuting Attorney || Public Prosecutor
Rabbi,Individual,National Religious || Jewish,Rabbis || Rabbi
Raider,Individual,Rebel,Raider
Rebel Commander,Individual,Rebel,Rebel Commander || Rebel Leader
Rebel Separatist,Individual,Separatists,Rebel Separatist
Rebel Student,Individual,Rebel,Rebel Student
Refugee,Individual,Refugees / Displaced,Refugee || Returnee || Displaced Person || Displaced Family
Refugee Returnee,Individual,Refugees / Displaced,Refugee Returnee
Regional Governor,Individual,Provincial,Regional Governor
Regional Representative,Individual,Provincial,Regional Representative
Regulator,Individual,Government,Regulator
Representative in Parliament,Individual,Legislative / Parliamentary,Representative In Parliament
Representative to the United Nations,Individual,Foreign Ministry,Representative To The Un || Permanent Representative To The United Nations
Resistance Leader,Individual,Rebel,Resistance Leader || Resistance Commander
Rights Activist,Individual,Human Rights IGOs || Human Rights NGOs,Rights Group || Rights Activist
Rioter,Individual,Protestors / Popular Opposition / Mobs,Rioter
Scholar,Individual,Education,Academician || Scholar
Scientist,Individual,Education,Scientist
Secret Agent,Individual,Military Intelligence,Spies || Intelligence Agent || Spy || Secret Agent || Enemy Agent || Operative || Undercover Agent
Secretariat,Individual,Government,Secretariat || Secretariate
Secretary of Civil,Individual,Government,Secretary Of Civil
Secretary of Labor,Individual,Labor Ministry,Secretary Of Labour || Secretary Of Labor
Senior Intelligence Officer,Individual,Intelligence Ministry,Senior Intelligence Officer
Separatist,Individual,Separatists,Separatist Rebel || Separatist Guerrilla || Separatist Movement || Separatist || Popular Movement For The Liberation
Separatist Leader,Individual,Separatists,Separatist Leader
Separatist Militant,Individual,Separatists,Separatist Militant
Settler,Individual,General Population / Civilian / Social,Settler
Sharecropper,Individual,Agricultural,Sharecropper || Sharecrop Farmer
Sikh,Individual,National Religious || Sikh,Sikh
Slum Dweller,Individual,General Population / Civilian / Social,Slum Dweller
Social Worker,Individual,Medical / Health NGOs,Social Worker
Spy Plane,Individual,Military,Spy Plane
Steelmaker,Individual,Business,Steelmaker
Striking Nurse,Individual,Labor,Striking Nurse
Striking Worker,Individual,Labor,Striking Worker
Student,Individual,Education,Student || Students And Professor || Students And Teacher || Doctoral Student
Student Dissident,Individual,Protestors / Popular Opposition / Mobs,Anti Government Youth || Protesting Student || Opposition Student Leader || Anti Government Student || Student Demonstrator || Youth Protester || Student Protester || Dissident Student || Agitated Student || Student Dissident || Student Opposition || Student Protestor || Youth Demonstrater || Youth Protestor || Student Demonstrater || Yout
Subdistrict Leader,Individual,Municipal,Subdistrict Leader
Suicide Bomber,Individual,Radicals / Extremists / Fundamentalists,Human Bomb || Suicide Bomber
Terrorist,Individual,Rebel,Terrorist || Murderous Extremist
Terrorist Leader,Individual,Rebel,Terrorist Group Leader || Terrorist Group || Terrorist Leader
Thief,Individual,Criminals / Gangs,Burglar || Cattle Thief || Safe Cracker || Thieves || Thief || Robber || Pickpocket || Crook || Safecracker || Shoplifter
Top Right Leader,Individual,Parties,Top Right Leader
Tourist,Individual,General Population / Civilian / Social,Backpacker || Tourist
Trade Official,Individual,Finance / Economy / Commerce / Trade Ministry,Trade Official
Tribal Insurgent,Individual,International Ethnic || Rebel,Tribal Insurgent
Tribal Rebel,Individual,International Ethnic || Rebel,Tribal Rebel
Tyrant,Individual,Executive Office,Despot || Autocrat || Tyrant
Underground Rebel,Individual,Rebel,Underground Resistance || Underground Rebel
Undersecretary,Individual,Government,Undersecretary
Villager,Individual,General Population / Civilian / Social,Villager
VIP,Individual,Elite,Vip
Waiter,Individual,Business,Waiter
War Correspondent,Individual,News,Combat Correspondent || War Correspondant || Special Correspondent || War Correspondent || War Reporter
Web Site,Individual,Media,Web Site || Website || Internet Site
